HOUSEID,PERSONID,TRPTRANS,TRPACCMP,DRVRCNT,EDUC,HHFAMINC,HHSIZE,HHSTATE,HHVEHCNT,HOMEOWN,R_AGE_IMP,R_SEX_IMP,TRPMILES,TRVLCMIN,URBRUR,WORKER,WHYTRP1S,STRTTIME,TRIPPURP,choice,DA,SR,Transit,Bicycle,Walk,av_DA,av_SR,av_Transit,av_Bicycle,av_Walk,constant,DRVRCNT_imp,DRVRCNT_zero,DRVRCNT_one,DRVRCNT_two,DRVRCNT_3GE,education,less_Bachelor,Bachelor,Graduate,hhincome,hhincome_1,hhincome_2,hhincome_3,hhincome_4,hhsize,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize3GE,HHVEHCNT_imp,veh_zero,veh_one,veh_two,veh_3GE,AGE,age_LE18,age18_24,age25_29,age30_44,age45_59,age60_74,age_75GE,Urban_Rural,Employ_status,Gender,Norm_tripmile,Norm_triptime,triptime_scaled,triptime_log,IndivID,ALT_16,ALT_23,ALT_45
30001124,1,4,0,2,3,7,4,TX,2,1,35,2,11.669,33,1,1,10,705,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,0,0.003986726,0.030505243,0.33,1.51851394,300011241,-1,-1,-1
30001152,2,3,1,2,4,4,3,CA,1,2,54,2,0.452,5,1,1,10,645,HBW,2,0,1,0,0,0,1,1,1,0,0,1,3,0,0,0,1,2,0,1,0,2,0,0,1,0,3,0,0,1,0,0,1,2,0,0,1,0,5,0,0,0,0,1,0,0,1,1,0,0.000154098,0.003813155,0.05,0.698970004,300011522,1,4,4
30001177,2,3,1,0,4,4,2,CA,0,2,22,2,5.231,30,1,1,10,800,HBW,2,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,2,0,1,0,2,0,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0.001786988,0.027645377,0.3,1.477121255,300011772,4,4,4
30001219,1,6,1,1,5,6,1,IA,1,1,34,1,9.299,15,1,1,10,657,HBW,2,0,1,0,0,0,1,1,0,1,1,1,2,0,0,1,0,3,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,1,1,1,0.003176944,0.013346044,0.15,1.176091259,300012191,4,2,3
30001272,1,3,0,2,4,7,2,TX,3,1,52,2,10.633,15,2,1,10,730,HBW,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0.003632746,0.013346044,0.15,1.176091259,300012721,4,3,4
30001272,2,6,0,2,4,7,2,TX,3,1,55,1,9.775,15,2,1,10,625,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0.003339584,0.013346044,0.15,1.176091259,300012722,-1,-1,-1
30001272,2,6,0,2,4,7,2,TX,3,1,55,1,9.775,25,2,1,1,735,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0.003339584,0.022878932,0.25,1.397940009,300012722,-1,-1,-1
30001394,2,3,0,2,3,10,2,CA,2,1,67,2,23.265,60,1,1,10,730,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1,0,1,1,0,0.007948852,0.056244042,0.6,1.77815125,300013942,-1,-1,-1
30001396,1,1,1,2,5,6,2,NY,1,2,29,2,0.063,5,1,1,10,600,HBW,5,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,3,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,2.12E-05,0.003813155,0.05,0.698970004,300013961,1,4,1
30001426,1,6,0,2,4,7,2,NY,2,1,61,1,2.143,5,1,1,1,630,HBW,1,1,0,0,0,0,1,1,0,1,1,1,3,0,0,0,1,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1,0,1,1,1,0.000731879,0.003813155,0.05,0.698970004,300014261,2,1,3
30001426,2,4,0,2,4,7,2,NY,2,1,56,2,1.41,7,1,1,10,645,HBW,1,1,0,0,0,0,1,1,0,1,1,1,3,0,0,0,1,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,0,0.000481428,0.005719733,0.07,0.84509804,300014262,4,1,3
